player_id,player,nfl_team,nfl_season,nfl_targets,nfl_contested_targets,nfl_contested_receptions,nfl_cc_rate,nfl_receptions,nfl_rec_yards,nfl_rec_tds,nfl_yac,nfl_yac_per_rec
47509,Hunter Renfrow,Raiders,2022,51,4,3,0.75,37,333,2,168,4.5
47509,Hunter Renfrow,Raiders,2023,40,4,0,0.0,27,266,0,161,6.0
47509,Hunter Renfrow,Panthers,2025,26,6,3,0.5,15,89,2,21,1.4
47546,Christian Kirk,Jaguars,2022,126,18,5,0.2777777777777778,85,1124,8,396,4.7
47546,Christian Kirk,Jaguars,2023,83,7,2,0.2857142857142857,57,787,3,251,4.4
47546,Christian Kirk,Jaguars,2024,49,10,3,0.3,28,381,1,114,4.1
47546,Christian Kirk,Texans,2025,54,11,2,0.1818181818181818,29,260,1,120,4.1
47658,KaVontae Turpin,Cowboys,2022,1,0,0,,1,9,0,5,5.0
47658,KaVontae Turpin,Cowboys,2023,20,4,2,0.5,12,127,3,39,3.3
47658,KaVontae Turpin,Cowboys,2024,49,6,1,0.1666666666666666,32,432,2,264,8.3
47658,KaVontae Turpin,Cowboys,2025,41,2,1,0.5,27,419,2,218,8.1
47663,DJ Turner,Raiders,2022,1,0,0,,0,0,0,0,0.0
47663,DJ Turner,Raiders,2024,29,7,5,0.7142857142857143,16,158,1,83,5.2
47698,Keke Coutee,Colts,2022,1,0,0,,1,20,0,10,10.0
47702,DJ Chark Jr.,Lions,2022,52,16,8,0.5,30,502,3,138,4.6
47702,DJ Chark Jr.,Panthers,2023,70,19,10,0.5263157894736842,36,551,5,95,2.6
47702,DJ Chark Jr.,Chargers,2024,9,2,1,0.5,4,31,1,7,1.8
47792,James Washington,Cowboys,2022,1,1,0,0.0,0,0,0,0,0.0
47800,Denzel Mims,Jets,2022,25,8,2,0.25,11,186,0,78,7.1
47808,Collin Johnson,Bears,2023,1,0,0,,1,11,0,4,4.0
47808,Collin Johnson,Bears,2024,2,1,0,0.0,1,6,0,3,3.0
47809,Marquez Valdes-Scantling,Chiefs,2022,84,15,5,0.3333333333333333,43,702,2,129,3.0
47809,Marquez Valdes-Scantling,Chiefs,2023,45,8,2,0.25,22,365,1,110,5.0
47809,Marquez Valdes-Scantling,Saints,2024,44,10,1,0.1,19,411,4,141,7.4
47809,Marquez Valdes-Scantling,Steelers,2025,29,6,1,0.1666666666666666,14,120,1,32,2.3
