player_id,player,college_team,college_season,college_targets,college_contested_targets,college_contested_receptions,college_cc_rate,college_receptions,college_rec_yards,college_rec_tds,college_yac,college_yac_per_rec
64189,Zachary Leslie,NC A&T,2021,18,5,1,0.2,6,123,2,8,1.3
64189,Zachary Leslie,NC A&T,2022,67,11,3,0.2727272727272727,39,661,5,321,8.2
64190,Jai'Rus Creamer,SAMFORD,2021,49,11,7,0.6363636363636364,32,426,3,200,6.3
64293,Trey Gross,DELWARE ST,2021,74,10,7,0.7,49,635,13,245,5.0
64301,Ryan DeLuca,FURMAN,2021,35,1,0,0.0,17,224,0,58,3.4
64307,Jim Welsh,WOFFORD,2021,33,9,5,0.5555555555555556,19,173,1,36,1.9
64309,Daylen Baldwin,MICHIGAN,2021,32,6,0,0.0,16,250,2,97,6.1
64310,Montrell Washington,SAMFORD,2021,85,10,5,0.5,60,854,9,333,5.5
64330,Kendall Watson,SAMFORD,2021,53,8,4,0.5,36,458,0,226,6.3
64330,Kendall Watson,SAMFORD,2022,122,13,6,0.4615384615384615,88,1021,10,466,5.3
64434,Lane Botkin,HOU BAPT,2021,25,6,3,0.5,17,168,0,104,6.1
64506,Devin Maddox,TOLEDO,2021,59,5,3,0.6,39,564,4,346,8.9
64506,Devin Maddox,TOLEDO,2022,65,11,4,0.3636363636363636,41,596,3,229,5.6
64506,Devin Maddox,TOLEDO,2023,25,6,1,0.1666666666666666,16,133,1,40,2.5
64532,Jalen Staples,DAVIDSON,2021,47,7,1,0.1428571428571428,27,291,1,134,5.0
64571,Matt Guilfoil,MOREHEAD,2021,29,5,0,0.0,13,132,1,64,4.9
64571,Matt Guilfoil,MOREHEAD,2022,31,5,1,0.2,9,53,1,14,1.6
64811,Kwannah Kollie,DELWARE ST,2021,46,6,2,0.3333333333333333,25,314,1,94,3.8
65038,Joshua DeCambre,AUSTINPEAY,2021,13,1,0,0.0,7,116,0,29,4.1
65038,Joshua DeCambre,AUSTINPEAY,2022,35,11,4,0.3636363636363636,18,171,2,69,3.8
65045,Tony Tate,W ILLINOIS,2021,81,5,3,0.6,65,624,3,304,4.7
